ticket_id,customer_id,created_date,category,priority,status,resolution_time_hours,description
TKT-009454,CUST-01104,2025-05-14 14:00:00,technical,medium,resolved,26.6,VoIP call quality degradation — choppy audio and latency.
TKT-009455,CUST-04900,2025-02-10 17:00:00,billing,low,resolved,110.6,Customer asking about proration after mid-cycle plan change.
TKT-009456,CUST-02186,2025-02-14 15:00:00,general,low,resolved,16.7,Customer requesting update to account contact information.
TKT-009457,CUST-02157,2025-10-19 13:00:00,general,low,resolved,32.2,Question about service availability at a new address.
TKT-009458,CUST-03619,2025-04-05 09:00:00,technical,medium,resolved,59.6,Email service not syncing on mobile device.
TKT-009459,CUST-00690,2025-12-25 12:00:00,billing,high,escalated,,Request to change billing date to align with pay schedule.
TKT-009460,CUST-00495,2025-09-16 10:00:00,billing,critical,resolved,3.8,Payment processing error reported — double charge on credit card.
TKT-009461,CUST-02319,2025-05-24 17:00:00,general,low,resolved,54.9,General inquiry about contract renewal terms.
TKT-009462,CUST-03536,2025-10-11 16:00:00,technical,low,escalated,,Slow download speeds not matching subscribed plan tier.
TKT-009463,CUST-01537,2025-11-16 12:00:00,billing,medium,resolved,23.2,Late fee dispute — customer says payment was submitted on time.
TKT-009464,CUST-04855,2025-09-01 19:00:00,cancellation,medium,resolved,2.4,Cancellation request — customer relocating out of service area.
TKT-009465,CUST-04897,2025-03-03 13:00:00,billing,high,resolved,8.4,Customer asking about proration after mid-cycle plan change.
TKT-009466,CUST-01759,2025-02-21 09:00:00,general,low,escalated,,Customer inquiring about referral program benefits.
TKT-009467,CUST-01319,2025-07-10 12:00:00,technical,medium,resolved,23.9,Email service not syncing on mobile device.
TKT-009468,CUST-00431,2025-12-11 15:00:00,upgrade,low,resolved,5.1,Customer interested in upgrading to a faster internet tier.
TKT-009469,CUST-00261,2025-05-08 08:00:00,general,low,resolved,22.2,Customer asking about available loyalty rewards.
TKT-009470,CUST-00080,2025-12-04 17:00:00,general,low,resolved,37.9,Customer requesting update to account contact information.
TKT-009471,CUST-04021,2025-03-10 17:00:00,technical,medium,resolved,21.9,Slow download speeds not matching subscribed plan tier.
TKT-009472,CUST-01601,2025-01-04 15:00:00,technical,low,resolved,1.8,Slow download speeds not matching subscribed plan tier.
TKT-009473,CUST-02776,2025-06-26 16:00:00,cancellation,high,resolved,6.5,Account cancellation requested — switching to competitor.
TKT-009474,CUST-03766,2025-06-12 13:00:00,billing,medium,resolved,23.8,Payment processing error reported — double charge on credit card.
TKT-009475,CUST-00319,2025-01-01 17:00:00,billing,low,resolved,7.1,Customer inquired about unexpected charge on their latest bill.
TKT-009476,CUST-04311,2025-09-25 10:00:00,general,medium,resolved,9.4,Customer inquiring about referral program benefits.
TKT-009477,CUST-02682,2025-10-16 16:00:00,cancellation,high,resolved,52.6,Customer frustrated with service quality and wants to terminate.
TKT-009478,CUST-03119,2025-05-16 13:00:00,upgrade,medium,resolved,16.2,Request to add international calling to phone plan.
TKT-009479,CUST-04537,2025-02-15 13:00:00,billing,high,open,,Customer requesting breakdown of charges on monthly statement.
TKT-009480,CUST-03888,2025-03-01 19:00:00,billing,high,resolved,20.3,Request to change billing date to align with pay schedule.
TKT-009481,CUST-01474,2025-05-17 08:00:00,billing,medium,resolved,5.9,Customer requesting breakdown of charges on monthly statement.
TKT-009482,CUST-02108,2025-09-10 11:00:00,general,medium,open,,Customer inquiring about referral program benefits.
TKT-009483,CUST-00654,2025-09-27 10:00:00,technical,high,escalated,,Slow download speeds not matching subscribed plan tier.
TKT-009484,CUST-03858,2025-11-02 17:00:00,general,high,open,,Question about service availability at a new address.
TKT-009485,CUST-00126,2025-09-20 09:00:00,technical,medium,resolved,22.4,Email service not syncing on mobile device.
TKT-009486,CUST-03188,2025-11-02 16:00:00,technical,high,escalated,,Slow download speeds not matching subscribed plan tier.
TKT-009487,CUST-01621,2025-06-03 19:00:00,general,medium,resolved,4.4,Customer inquiring about referral program benefits.
TKT-009488,CUST-04296,2025-07-15 09:00:00,cancellation,critical,resolved,4.0,Customer frustrated with service quality and wants to terminate.
TKT-009489,CUST-04482,2025-05-14 18:00:00,cancellation,critical,escalated,,Customer threatening to cancel unless given a better rate.
TKT-009490,CUST-02195,2025-06-24 17:00:00,billing,low,escalated,,Late fee dispute — customer says payment was submitted on time.
TKT-009491,CUST-02878,2025-12-26 13:00:00,cancellation,high,escalated,,Customer threatening to cancel unless given a better rate.
TKT-009492,CUST-01885,2025-07-31 14:00:00,billing,medium,open,,Customer asking about proration after mid-cycle plan change.
TKT-009493,CUST-04908,2025-06-13 14:00:00,technical,high,open,,VoIP call quality degradation — choppy audio and latency.
TKT-009494,CUST-01604,2025-08-27 14:00:00,billing,low,open,,Request to change billing date to align with pay schedule.
TKT-009495,CUST-00023,2025-09-12 11:00:00,billing,high,resolved,15.3,Payment processing error reported — double charge on credit card.
TKT-009496,CUST-04632,2025-11-22 19:00:00,general,medium,resolved,29.6,Question about service availability at a new address.
TKT-009497,CUST-01770,2025-01-29 12:00:00,upgrade,medium,open,,Customer exploring premium channel add-on options.
TKT-009498,CUST-04266,2025-11-23 12:00:00,billing,medium,open,,Customer requesting breakdown of charges on monthly statement.
TKT-009499,CUST-01499,2025-06-17 19:00:00,billing,high,escalated,,Payment processing error reported — double charge on credit card.
TKT-009500,CUST-03770,2025-09-29 08:00:00,upgrade,medium,resolved,8.3,Request to add international calling to phone plan.
TKT-009501,CUST-03442,2025-09-30 09:00:00,billing,medium,escalated,,Customer confused about taxes and surcharges on bill.
TKT-009502,CUST-04931,2025-04-25 18:00:00,technical,low,resolved,13.1,Slow download speeds not matching subscribed plan tier.
TKT-009503,CUST-02157,2025-11-17 11:00:00,cancellation,critical,escalated,,Customer wants to cancel service — moving to a new provider.
TKT-009504,CUST-03130,2025-10-14 14:00:00,technical,medium,resolved,63.4,Email service not syncing on mobile device.
TKT-009505,CUST-00069,2025-09-01 19:00:00,upgrade,low,resolved,13.2,Request to add international calling to phone plan.
TKT-009506,CUST-04074,2025-04-29 08:00:00,technical,low,resolved,9.2,DNS resolution failures reported across multiple devices.
TKT-009507,CUST-02485,2025-12-14 16:00:00,cancellation,high,resolved,7.1,Customer frustrated with service quality and wants to terminate.
TKT-009508,CUST-02868,2025-10-31 10:00:00,billing,high,resolved,15.7,Payment processing error reported — double charge on credit card.
TKT-009509,CUST-02471,2025-01-21 18:00:00,general,medium,resolved,9.6,Customer requesting update to account contact information.
TKT-009510,CUST-00343,2025-01-19 18:00:00,technical,high,open,,DNS resolution failures reported across multiple devices.
TKT-009511,CUST-00685,2025-12-15 18:00:00,cancellation,low,escalated,,Account cancellation requested — switching to competitor.
TKT-009512,CUST-01048,2025-02-23 12:00:00,general,critical,resolved,6.7,General inquiry about contract renewal terms.
TKT-009513,CUST-01691,2025-04-28 08:00:00,cancellation,high,escalated,,Customer wants to cancel service — moving to a new provider.
TKT-009514,CUST-01473,2025-05-23 16:00:00,upgrade,medium,escalated,,Inquiry about adding streaming package to current plan.
TKT-009515,CUST-04250,2025-05-18 14:00:00,cancellation,critical,resolved,19.2,Customer wants to cancel service — moving to a new provider.
TKT-009516,CUST-02675,2025-07-07 16:00:00,general,medium,open,,Question about service availability at a new address.
TKT-009517,CUST-01415,2025-05-11 10:00:00,technical,high,open,,DNS resolution failures reported across multiple devices.
TKT-009518,CUST-00576,2025-11-17 08:00:00,cancellation,high,resolved,28.3,Cancellation request — customer relocating out of service area.
TKT-009519,CUST-01806,2025-12-22 17:00:00,billing,medium,escalated,,Customer confused about taxes and surcharges on bill.
TKT-009520,CUST-00856,2025-05-11 15:00:00,cancellation,high,resolved,42.0,Customer wants to cancel service — moving to a new provider.
TKT-009521,CUST-03067,2025-11-08 15:00:00,billing,low,open,,Late fee dispute — customer says payment was submitted on time.
TKT-009522,CUST-00739,2025-12-18 19:00:00,technical,high,escalated,,Customer unable to stream video — buffering issues during peak hours.
TKT-009523,CUST-03704,2025-07-27 09:00:00,billing,high,resolved,16.3,Request to change billing date to align with pay schedule.
TKT-009524,CUST-00864,2025-04-19 10:00:00,billing,high,resolved,9.8,Late fee dispute — customer says payment was submitted on time.
TKT-009525,CUST-01616,2025-10-05 19:00:00,technical,low,escalated,,DNS resolution failures reported across multiple devices.
TKT-009526,CUST-01080,2025-05-15 16:00:00,cancellation,medium,resolved,6.3,Requesting cancellation due to pricing — found cheaper alternative.
TKT-009527,CUST-02466,2025-08-09 08:00:00,technical,medium,resolved,3.3,Intermittent internet connectivity — customer reports frequent drops.
TKT-009528,CUST-02615,2025-04-06 14:00:00,technical,medium,resolved,101.9,VoIP call quality degradation — choppy audio and latency.
TKT-009529,CUST-01822,2025-10-02 10:00:00,general,high,resolved,3.7,Customer asking about available loyalty rewards.
TKT-009530,CUST-02649,2025-11-14 13:00:00,billing,high,escalated,,Late fee dispute — customer says payment was submitted on time.
TKT-009531,CUST-01967,2025-12-28 16:00:00,technical,high,resolved,35.4,VoIP call quality degradation — choppy audio and latency.
TKT-009532,CUST-02650,2025-03-14 14:00:00,technical,critical,resolved,11.9,Slow download speeds not matching subscribed plan tier.
TKT-009533,CUST-04980,2025-01-19 16:00:00,general,high,resolved,13.6,Request for copy of service agreement.
TKT-009534,CUST-00718,2025-02-17 19:00:00,technical,medium,resolved,14.7,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-009535,CUST-03747,2025-06-07 14:00:00,general,medium,resolved,4.0,Question about service availability at a new address.
TKT-009536,CUST-04264,2025-01-14 12:00:00,technical,medium,resolved,0.5,Customer unable to stream video — buffering issues during peak hours.
TKT-009537,CUST-02031,2025-06-25 19:00:00,general,medium,resolved,28.5,General inquiry about contract renewal terms.
TKT-009538,CUST-00123,2025-10-08 11:00:00,cancellation,medium,resolved,11.0,Cancellation request — customer relocating out of service area.
TKT-009539,CUST-01350,2025-05-28 16:00:00,billing,medium,resolved,46.0,Customer confused about taxes and surcharges on bill.
TKT-009540,CUST-01920,2025-01-14 15:00:00,general,medium,resolved,11.2,General inquiry about contract renewal terms.
TKT-009541,CUST-01941,2025-11-18 19:00:00,billing,high,resolved,13.3,Payment processing error reported — double charge on credit card.
TKT-009542,CUST-01687,2025-05-29 12:00:00,technical,low,resolved,12.4,Router not connecting after power outage — needs reset instructions.
TKT-009543,CUST-02097,2025-09-17 11:00:00,cancellation,high,resolved,50.3,Customer wants to cancel service — moving to a new provider.
TKT-009544,CUST-03266,2025-09-23 17:00:00,billing,critical,resolved,39.9,Customer asking about proration after mid-cycle plan change.
TKT-009545,CUST-01803,2025-06-13 18:00:00,billing,high,resolved,15.4,Customer confused about taxes and surcharges on bill.
TKT-009546,CUST-00925,2025-06-11 18:00:00,billing,critical,resolved,39.8,Customer asking about proration after mid-cycle plan change.
TKT-009547,CUST-02877,2025-06-15 19:00:00,technical,critical,resolved,4.8,Email service not syncing on mobile device.
TKT-009548,CUST-04717,2025-03-22 11:00:00,general,high,open,,Customer requesting update to account contact information.
TKT-009549,CUST-00861,2025-09-23 08:00:00,technical,high,resolved,1.3,DNS resolution failures reported across multiple devices.
TKT-009550,CUST-00146,2025-06-18 15:00:00,upgrade,low,resolved,42.2,Request to add international calling to phone plan.
TKT-009551,CUST-04404,2025-06-12 18:00:00,general,low,open,,Customer requesting update to account contact information.
TKT-009552,CUST-04587,2025-08-28 19:00:00,billing,critical,escalated,,Customer requesting breakdown of charges on monthly statement.
TKT-009553,CUST-00290,2025-09-10 18:00:00,technical,medium,resolved,2.0,Customer unable to stream video — buffering issues during peak hours.
TKT-009554,CUST-04350,2025-03-19 10:00:00,billing,high,resolved,7.8,Customer confused about taxes and surcharges on bill.
TKT-009555,CUST-01392,2025-01-07 08:00:00,technical,medium,resolved,62.9,Slow download speeds not matching subscribed plan tier.
TKT-009556,CUST-00258,2025-12-14 14:00:00,general,high,resolved,13.8,Request for copy of service agreement.
TKT-009557,CUST-03321,2025-06-09 13:00:00,cancellation,critical,resolved,4.0,Account cancellation requested — switching to competitor.
TKT-009558,CUST-04250,2025-12-10 12:00:00,billing,high,resolved,30.2,Customer requesting breakdown of charges on monthly statement.
TKT-009559,CUST-03966,2025-04-30 16:00:00,billing,high,resolved,7.8,Customer confused about taxes and surcharges on bill.
TKT-009560,CUST-01280,2025-05-22 09:00:00,cancellation,medium,resolved,11.5,Customer wants to cancel service — moving to a new provider.
TKT-009561,CUST-01142,2025-08-07 12:00:00,technical,medium,resolved,23.6,Email service not syncing on mobile device.
TKT-009562,CUST-02386,2025-11-13 19:00:00,upgrade,medium,open,,Customer wants to upgrade from DSL to fiber optic service.
TKT-009563,CUST-03360,2025-02-23 14:00:00,technical,medium,resolved,80.8,Router not connecting after power outage — needs reset instructions.
TKT-009564,CUST-04183,2025-09-26 10:00:00,cancellation,low,open,,Cancellation request — customer relocating out of service area.
TKT-009565,CUST-03157,2025-02-12 17:00:00,technical,medium,open,,DNS resolution failures reported across multiple devices.
TKT-009566,CUST-02850,2025-05-09 14:00:00,general,medium,resolved,2.5,Customer requesting update to account contact information.
TKT-009567,CUST-04603,2025-03-27 09:00:00,general,high,escalated,,Question about service availability at a new address.
TKT-009568,CUST-00547,2025-10-07 12:00:00,cancellation,high,resolved,28.9,Cancellation request — customer relocating out of service area.
TKT-009569,CUST-04566,2025-01-29 17:00:00,technical,medium,escalated,,Router not connecting after power outage — needs reset instructions.
TKT-009570,CUST-02188,2025-02-01 14:00:00,billing,high,resolved,2.3,Customer inquired about unexpected charge on their latest bill.
TKT-009571,CUST-01478,2025-09-19 13:00:00,technical,critical,escalated,,VoIP call quality degradation — choppy audio and latency.
TKT-009572,CUST-03966,2025-11-30 18:00:00,general,low,resolved,77.2,Request for copy of service agreement.
TKT-009573,CUST-00004,2025-11-14 12:00:00,technical,medium,open,,Email service not syncing on mobile device.
TKT-009574,CUST-04443,2025-09-17 13:00:00,upgrade,medium,resolved,21.9,Inquiry about bundle discount for adding mobile service.
TKT-009575,CUST-02182,2025-07-06 18:00:00,general,medium,resolved,64.4,Request for copy of service agreement.
TKT-009576,CUST-02301,2025-06-20 13:00:00,general,medium,open,,Customer asking about available loyalty rewards.
TKT-009577,CUST-02997,2025-07-21 16:00:00,upgrade,low,resolved,19.8,Customer exploring premium channel add-on options.
TKT-009578,CUST-03809,2025-04-10 13:00:00,general,low,resolved,32.2,Customer asking about available loyalty rewards.
TKT-009579,CUST-03873,2025-03-02 09:00:00,billing,medium,escalated,,Customer asking about proration after mid-cycle plan change.
TKT-009580,CUST-03121,2025-12-05 09:00:00,billing,low,open,,Customer confused about taxes and surcharges on bill.
TKT-009581,CUST-01279,2025-09-16 14:00:00,cancellation,critical,escalated,,Account cancellation requested — switching to competitor.
TKT-009582,CUST-01737,2025-02-22 12:00:00,technical,critical,escalated,,Router not connecting after power outage — needs reset instructions.
TKT-009583,CUST-02057,2025-01-31 18:00:00,technical,medium,open,,Customer unable to stream video — buffering issues during peak hours.
TKT-009584,CUST-03001,2025-07-14 13:00:00,billing,medium,resolved,3.2,Customer inquired about unexpected charge on their latest bill.
TKT-009585,CUST-03063,2025-01-30 18:00:00,cancellation,critical,escalated,,Customer wants to cancel service — moving to a new provider.
TKT-009586,CUST-01548,2025-01-09 10:00:00,general,critical,escalated,,Customer inquiring about referral program benefits.
TKT-009587,CUST-04205,2025-11-27 11:00:00,billing,medium,open,,Request to change billing date to align with pay schedule.
TKT-009588,CUST-00931,2025-10-11 17:00:00,cancellation,critical,escalated,,Customer threatening to cancel unless given a better rate.
TKT-009589,CUST-03363,2025-12-08 13:00:00,general,low,resolved,19.8,Customer requesting update to account contact information.
TKT-009590,CUST-01686,2025-01-09 15:00:00,billing,medium,escalated,,Customer inquired about unexpected charge on their latest bill.
TKT-009591,CUST-02132,2025-07-28 12:00:00,cancellation,medium,resolved,0.9,Customer frustrated with service quality and wants to terminate.
TKT-009592,CUST-00888,2025-05-06 16:00:00,billing,medium,open,,Request to change billing date to align with pay schedule.
TKT-009593,CUST-04766,2025-01-17 11:00:00,general,low,resolved,17.9,Question about service availability at a new address.
TKT-009594,CUST-03361,2025-10-20 18:00:00,billing,low,resolved,49.3,Late fee dispute — customer says payment was submitted on time.
TKT-009595,CUST-01237,2025-05-07 11:00:00,cancellation,critical,resolved,20.5,Customer threatening to cancel unless given a better rate.
TKT-009596,CUST-03828,2025-01-09 12:00:00,general,critical,resolved,29.1,Customer asking about available loyalty rewards.
TKT-009597,CUST-04612,2025-04-22 16:00:00,technical,high,resolved,19.3,Slow download speeds not matching subscribed plan tier.
TKT-009598,CUST-04573,2025-04-22 19:00:00,billing,low,resolved,6.4,Customer confused about taxes and surcharges on bill.
TKT-009599,CUST-02180,2025-07-22 10:00:00,general,medium,resolved,8.1,General inquiry about contract renewal terms.
TKT-009600,CUST-00690,2025-02-15 16:00:00,billing,medium,open,,Late fee dispute — customer says payment was submitted on time.
TKT-009601,CUST-03800,2025-12-23 09:00:00,cancellation,high,escalated,,Customer threatening to cancel unless given a better rate.
TKT-009602,CUST-01906,2025-10-04 09:00:00,general,medium,open,,Question about service availability at a new address.
TKT-009603,CUST-00373,2025-05-10 14:00:00,general,medium,resolved,23.6,Request for copy of service agreement.
TKT-009604,CUST-04035,2025-04-26 09:00:00,billing,low,resolved,43.7,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-009605,CUST-04005,2025-01-11 10:00:00,upgrade,medium,resolved,8.3,Request to add international calling to phone plan.
TKT-009606,CUST-02307,2025-09-11 12:00:00,billing,medium,open,,Customer inquired about unexpected charge on their latest bill.
TKT-009607,CUST-02185,2025-08-30 14:00:00,general,critical,open,,Question about service availability at a new address.
TKT-009608,CUST-03236,2025-05-08 16:00:00,billing,medium,resolved,20.6,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-009609,CUST-03067,2025-03-05 09:00:00,technical,medium,escalated,,VoIP call quality degradation — choppy audio and latency.
TKT-009610,CUST-02739,2025-05-26 16:00:00,technical,medium,resolved,41.4,Customer unable to stream video — buffering issues during peak hours.
TKT-009611,CUST-01293,2025-08-19 16:00:00,billing,high,resolved,33.7,Customer inquired about unexpected charge on their latest bill.
TKT-009612,CUST-02199,2025-07-03 14:00:00,billing,critical,escalated,,Customer confused about taxes and surcharges on bill.
TKT-009613,CUST-00937,2025-10-31 08:00:00,cancellation,critical,open,,Account cancellation requested — switching to competitor.
TKT-009614,CUST-01062,2025-07-06 16:00:00,technical,medium,open,,Email service not syncing on mobile device.
TKT-009615,CUST-01754,2025-08-06 08:00:00,billing,high,resolved,48.6,Customer requesting breakdown of charges on monthly statement.
TKT-009616,CUST-02346,2025-08-02 15:00:00,general,low,resolved,7.0,Question about service availability at a new address.
TKT-009617,CUST-01675,2025-11-05 13:00:00,technical,medium,resolved,5.9,VoIP call quality degradation — choppy audio and latency.
